Q100	city in and state capital of Massachusetts, United States
Q1104	German town in the Märkischer Kreis district of North Rhine-Westphalia
Q110403	county in the state of Washington, United States
Q110415	American biochemist
Q110431	municipality in Trøndelag, Norway
Q110450	American astronaut
Q110462	French-American actress, director and singer-songwriter
Q1104665	commune in Lot, France
Q1104696	commune in Lot, France
Q110491	county in Minnesota, United States
Q110495	county in Minnesota, United States
Q1104987	fictional James Bond villain
Q110504	county in Georgia, United States
Q110516	county in Illinois, United States
Q1105254	former commune in Lot, France
Q110528	county in Texas, United States
Q110532	county in Illinois, United States
Q1105359	1988 film by Roger Donaldson
Q1105463	1985 film by Ron Howard
Q1105466	1988 film by Daniel Petrie
Q110555	county in Illinois, United States
Q110556	ice hockey player, NHL executive
Q110570	county in Texas, United States
Q110574	canton of France (until March 2015)
Q110575	county in Texas, United States
Q110592	county in Wyoming, United States
Q11059683	Danish association football player
Q110606	county in Illinois, United States
Q1106060	American ice hockey player
Q110624	county in Texas, United States
Q110628	actor (1929-2015)
Q110640	county in northeastern Wyoming, United States
Q110680	county in Iowa, United States
Q1106851	2003 anthology film directed by Jim Jarmusch
Q11068602	1942 film by Kurt Neumann
Q110691	German-american historian
Q1106910	2011 Cofidis season
Q110739	county in California, United States
Q110755	county in Texas, United States
Q110768	county in Iowa, United States
Q11077926	cycling race
Q11079799	local government area in New South Wales, Australia
Q11080772	1943 film by Kurt Neumann
Q1108431	Canadian ice hockey player
Q110848	municipality in Viken, Norway
Q1108579	British chess player
Q1108635	British/American chronobiologist (1918-1996)
Q110879	American astronaut
Q110900	county in Minnesota, United States
Q1109026	television series
Q110904	county in Texas, United States
Q11092129	49,000 acres managed by the National Park Service
Q110925	American chemist
Q1109324	Flemish painter (1670-1746)
Q110935	Nobel Prize-winning American inorganic and organic chemist
Q110936	German noble
Q1109698	suburb of Melbourne, Victoria, Australia
Q1109724	national park
Q1109824	suburb of Hobart, Australia
Q1109976	daylight savings time zone used in eastern Europe (UTC+3)
Q111	fourth planet from the Sun
Q1110062	1959 film by Melville Shavelson
Q111036	German politician (1902-1968)
Q111039	municipality in Trøndelag, Norway
Q1110403	cycling team
Q111074	English film score composer
Q1110797	1955 film by Henry Koster
Q1110897	former commune in Hautes-Pyrénées, France
Q111096	Italian comune
Q111098	suburban county in New York, United States
Q111100	Italian comune
Q111103	Italian comune
Q111107	Italian comune
Q111109	Italian comune
Q1111116	commune in Ariège, France
Q111113	Italian comune
Q111120	Italian comune
Q111122	Italian comune
Q1111228	1994 film by Richard Rush
Q111126	Italian comune
Q1111261	private liberal arts college in Colorado Springs, Colorado, United States
Q1111289	commune in Haute-Garonne, France
Q1111303	American basketball player
Q111144	Italian comune
Q111147	Italian comune
Q111150	Italian comune
Q111153	Italian comune
Q1111542	American actress and producer
Q111159	Italian comune
Q1111600	ice hockey player
Q111162	Italian comune
Q111165	Italian comune
Q111168	county in Texas, United States
Q111169	Italian comune
Q111174	county in Texas, United States
Q111176	Italian comune
Q111195	Italian comune
Q1111969	2002 film by Carl Franklin
Q111197	Italian comune
Q1111983	Venezuelan basketball player
Q1112005	American musician and actress
Q111202	Italian comune
Q111205	Italian comune
Q111215	Italian comune
Q111218	Italian comune
Q111220	county in Nevada, United States
Q111222	Italian comune
Q111226	Italian comune
Q111228	former Italian comune
Q11122898	American general in the War of 1812
Q111235	county in Iowa, United States
Q1112359	Spanish footballer
Q111240	American astronaut
Q1112439	former commune in Deux-Sèvres, France
Q111245	county in New Mexico, United States
Q111250	county in Alabama, United States
Q111254	county in Alabama, United States
Q1112554	American Actress (1922-2015)
Q111259	county in Alabama, United States
Q111266	county in Alabama, United States
Q111268	Italian comune
Q111270	Italian comune
Q111273	county in Alabama, United States
Q111275	Italian comune
Q111278	Italian comune
Q111280	county in Alabama, United States
Q111281	Italian comune
Q111284	Italian comune
Q111286	county in Mississippi, United States
Q111289	Italian comune
Q111291	county in Mississippi, United States
Q111292	Italian comune
Q111295	Italian comune
Q111298	county in Idaho, United States
Q111299	Italian comune
Q1113	province in Flanders, Belgium
Q111302	Italian comune
Q111304	county in nothereastern Utah, United States
Q111306	Italian comune
Q111310	county in Ohio, United States
Q1113111	commune in Meuse, France
Q1113303	1953 US science fiction film directed by Byron Haskin
Q111339	Italian comune
Q111342	Italian comune
Q111345	Italian comune
Q111349	Italian comune
Q111353	Italian comune
Q111356	Italian comune
Q111358	Italian comune
Q111363	Italian comune
Q111366	Italian comune
Q111369	Italian comune
Q111380	county in Texas, United States
Q1113804	American mass media company
Q111389	Italian comune
Q111394	Italian comune
Q111397	Italian comune
Q1113987	1983 American drama film directed by Bruce Beresford
Q111399	Italian comune
Q1114	province in Flanders, Belgium
Q111400	county in Illinois, United States
Q111405	Italian comune
Q111409	county in Hawaii, United States
Q111411	Italian comune
Q111415	Italian comune
Q111420	Italian comune
Q111421	county in Minnesota, United States
Q111424	Italian comune
Q1114247	Danish road bicycle racer
Q1114255	1938 film by Busby Berkeley, John Farrow
Q111429	Italian comune
Q1114345	1969 film by Giuliano Montaldo
Q111436	American composer and conductor (1922-2004)
Q111460	Italian comune
Q1114628	American film editor
Q111466	Italian comune
Q1114683	1978 film directed by Hal Ashby
Q1114685	1991 American film by Bryan Gordon
Q111473	Italian comune
Q111479	Italian comune
Q1114798	basketball team
Q111487	Italian comune
Q11151	annual knockout football competition
Q11152	knockout competition in English association football
Q111528	Italian comune
Q111530	county in Iowa, United States
Q111537	Italian comune
Q111543	Italian comune
Q111549	county in Minnesota, United States
Q111550	Italian comune
Q1115543	Solomon Island footballer (1977-2017)
Q11155721	basketball player, coach
Q1115631	intergovernmental organization created in 1982
Q111566	county in Minnesota, United States
Q1115697	Canadian ice hockey player
Q111575	county in Ohio, United States
Q111577	American fashion designer
Q111584	county in Illinois, United States
Q111589	Italian comune
Q1115922	Olympic wrestler
Q111595	Italian comune
Q1116	province in Flanders, Belgium
Q111602	Italian comune
Q111606	Italian comune
Q111613	county in Illinois, United States
Q1116153	arrondissement of France
Q111626	Italian comune
Q11162847	1945 film by Frank Tuttle
Q111630	Italian comune
Q111633	county in Illinois, United States
Q111639	Italian comune
Q111644	Italian comune
Q111647	county in Texas, United States
Q111650	Italian comune
Q111656	Italian comune
Q1116772	2001 comedy film directed by Chris and Paul Weitz and written by Chris Rock and Louis C.K
Q1116789	American ice hockey player
Q111689	municipality of the Philippines in the province of Palawan
Q111692	German politician
Q111694	county in Minnesota, United States
Q111696	Italian comune
Q1116991	1970 film by Bob Rafelson
Q1116999	20th Commonwealth Games sports event
Q111705	Italian comune
Q111707	municipality of the Philippines in the province of Palawan
Q111709	county in Kentucky, United States
Q111711	Italian comune
Q1117116	metropole
Q111717	Italian comune
Q111720	county in Florida, United States of America
Q111723	Italian comune
Q111732	Italian comune
Q111736	Italian comune
Q111739	city of the Philippines and capital of the province of Palawan
Q1117390	American actress
Q1117392	football player
Q111741	Italian comune
Q1117425	territory of the US between 1861–1889
Q111743	German-American film editor
Q111746	Italian comune
Q111749	Italian comune
Q1117613	2008 film by Jonathan Demme
Q111774	county in Colorado, United States
Q1117816	Italian basketball player
Q111790	county in Texas, United States
Q1117936	1999 film by Wes Craven
Q111796	Italian comune
Q1118	province in Flanders, Belgium
Q111800	Italian comune
Q111804	Italian comune
Q111807	Italian comune
Q111813	Italian comune
Q111818	Italian comune
Q111824	Italian comune
Q111831	county in Minnesota, United States
Q111833	Italian comune
Q111856	Italian comune
Q111859	county in Iowa, United States
Q111862	Italian comune
Q111867	county in Georgia, United States
Q111868	Italian comune
Q111878	Italian comune
Q111886	county in Iowa, United States
Q111888	Italian comune
Q111894	county in Georgia, United States
Q111900	Italian comune
Q111904	county in the state of Washington, United States
Q111906	Commune in the Province of Rimini, Emilia-Romagna, Italy
Q11190868	fjord in Sunnmøre, Norway
Q11191823	fjord in Western Norway
Q111928	county in Georgia, United States
Q1119288	Italian basketball player
Q111936	county in Iowa, United States of America
Q1119366	sports season
Q111937	Italian comune
Q11194	capital city of Bosnia and Herzegovina
Q111942	Italian comune
Q111949	Italian comune
Q111954	Italian comune
Q11196	political entity of the sovereign country of Bosnia and Herzegovina
Q111961	Italian comune
Q111966	former Italian comune
Q111968	county in Oklahoma, United States
Q111972	Italian comune
Q111975	Austrian archduke (1784-1864)
Q111979	county in New Mexico, United States
Q1119873	métropole in Languedoc, southern France
Q1119894	agglomeration community
Q112011	Italian comune
Q112019	Italian comune
Q1120190	metropolitan area of Angers, France
Q112022	Italian comune
Q1120245	former urban community
Q1120277	1933 film by Norman Z. McLeod
Q112028	Italian comune
Q1120291	intercommunality in France
Q112034	Italian comune
Q1120443	metropolitan borough of Tyne and Wear, in North East England
Q112061	county in Georgia, United States
Q112078	county in Texas, United States
Q112079	Italian comune
Q11208	headquarters of the United States Department of Defense; named after the shape of the building, a polygon with five (greek: penta) sides
Q1120838	association football club in Italy
Q112084	Italian comune
Q112089	Italian comune
Q1120939	American actor
Q112095	Italian comune
Q1120965	1942 film by Irving Reis
Q112101	Italian comune
Q112107	county in Ohio, United States
Q1121131	1945 film by Sam Wood
Q112122	town in the province of Brescia, Italy
Q1121222	American animated TV Series
Q112125	county in Texas, United States
Q112127	Italian comune
Q112131	Italian comune
Q112135	Italian comune
Q112143	Italian comune
Q1121436	1841–1867 UK possession in North America
Q112146	Italian comune
Q112151	Italian comune
Q112156	German zoologist
Q112157	Italian town/commune.
Q1121579	1953 American film directed by Charles Lamont
Q1121597	1989 drama comedy movie directed by Danny DeVito
Q112164	Italian comune
Q11218	branch of the United States Armed Forces
Q1121878	2008 romantic comedy movie directed by Adam Brooks
Q112190	Italian comune in the Province of Brescia
Q1121916	1962 film by Peter Ustinov
Q1122	province in Wallonia, Belgium
Q11220194	2014 film directed by Matt Reeves
Q112203	Italian comune
Q1122047	1996 Disney TV cartoon series
Q112207	Italian comune in the Province of Brescia
Q112215	Italian comune
Q112220	county in Kansas, United States
Q112221	Italian comune in the Province of Brescia
Q112226	Italian comune in the Province of Brescia
Q1122281	1982 film by Martin Scorsese
Q11223	air warfare branch of the United States Armed Forces
Q112237	Italian comune
Q1122412	Italian sculptor and painter (1884-1971)
Q1122534	1953 Technicolor adventure/romantic drama film directed by John Ford
Q1122553	ice hockey club in Karlstad, Sweden
Q1122571	1988 film by Philip Kaufman
Q1122688	1997 post-apocalyptic film by Kevin Costner
Q112271	county in Alabama, United States
Q1122775	1940 film by King Vidor
Q1122821	award
Q1123006	1987 superhero film directed by Sidney J. Furie
Q112307	American singer, actress, civil rights activist and dancer (1917-2010)
Q112345	German classical philologist
Q1123463	1998 film by Randall Wallace
Q1123479	2007 American psychological thriller film directed by Joel Schumacher
Q11235	complex of buildings in Lower Manhattan, New York City, United States, 1973–2001
Q1123760	commune in Gers, France
Q11239165	Norwegian chess player
Q1124	42nd president of the United States
Q1124080	2005 American thriller film directed by John Polson
Q1124098	administrative unit of the Russian Empire and the Soviet Union in 1781–1923
Q1124332	1931 film by Frank Capra
Q112449	American basketball player and announcer
Q11245	main building of the rebuilt World Trade Center complex in Lower Manhattan, New York City
Q1124532	American football player (1969-2012)
Q1124553	American basketball player-coach
Q112456	county in Mississippi, United States
Q1124617	1981 film by Charles Jarrott
Q1124634	American actor (1870-1922)
Q1124735	actor
Q1124743	county in Maine, United States of America
Q1124875	2001 film by Marc Forster
Q11249	neighborhood in Manhattan in New York City
Q1124916	county in Indiana, United States
Q1124980	1998 film directed by Ivan Reitman
Q112499	county in Mississippi, United States
Q1125	province in Wallonia, Belgium
Q1125008	parish in Louisiana, United States
Q1125061	Basque nationalist party
Q112512	county in Illinois, United States of America
Q1125181	1937 film
Q1125253	2003 film by Jan de Bont
Q1125282	1999 film by Miloš Forman
Q1125333	local administrative unit (opština) in North Macedonia
Q112534	American politician and academic
Q112536	American actress
Q1125384	2003 action adventure movie directed by Peter Weir
Q1125399	Professional basketball award
Q1125442	1993 film by Martin Scorsese
Q1125451	1991 film by Gus Van Sant
Q1125566	1933 film directed by Leo McCarey
Q112565	county in Texas, United States
Q1125651	American actor
Q1125695	Screenwriter and author of several books on anthropology
Q112584	county in Texas, United States
Q1125888	1973 film by Mike Nichols
Q1125913	American basketball player
Q1126	province in Wallonia, Belgium
Q1126099	lake in Cumbria, England
Q1126243	American professional basketball team based in Uncasville, Connecticut
Q1126347	American basketball player
Q112635	2003 American crime and drama film by James Cox
Q1126383	2004 film by Michael Lembeck
Q1126637	1989 film directed by Brian De Palma
Q1126713	American film editor
Q1126773	German artist (1490-1552)
Q11268	bicameral legislature of the United States
Q1127	province in Wallonia, Belgium
Q11270941	cycling race
Q112714	county in Texas, United States
Q1127184	1984 fantasy romantic comedy movie directed by Ron Howard
Q1127212	unfinished office building at the rebuilt World Trade Center in Manhattan, New York City
Q1127424	1998 film by Robert Redford, Patrick Markey
Q112747	2012 film by Robert Lorenz
Q1127669	1942 film by Irving Cummings
Q1127709	1993 film by Tony Scott
Q1127887	French media company
Q112793	county in Texas, United States
Q11280	district in North Rhine-Westphalia, Germany
Q112807	county in Colorado, United States
Q1128120	human spaceflight
Q1128303	French cycling team
Q112834	county in Mississippi, United States
Q1128384	municipality in Blekinge County, Sweden
Q1128488	remote coral atoll of American Samoa, United States of America
Q1128496	2009 film by Harold Ramis
Q112855	municipality in Nordland, Norway
Q1128631	association football club in Leeds, England
Q112869	county in Illinois, United States
Q1128727	1938 film by Alexander Hall
Q1128745	2011 film by Bobby Farrelly, Peter Farrelly
Q1128750	2009 film by Scott Cooper
Q1129	province in Wallonia, Belgium
Q1129059	Chilean football club
Q1129080	2012 film by Baltasar Kormákur
Q112915	county in New Jersey, United States
Q1129189	1941 film by George Marshall
Q1129227	2002 romantic comedy movie by Chris and Paul Weitz
Q1129290	2008 film by David Frankel
Q11293	seat of Ennepe-Ruhr-Kreis and town in North Rhine-Westphalia, Germany
Q1129308	2006 film by Steve Oedekerk
Q1129334	American football player (1921-1995)
Q112934	county in New Mexico, United States
Q1129381	1998 film by Rob Bowman
Q1129396	92nd running of the Giro d'Italia, one of cycling's Grand Tours
Q1129487	award
Q1129534	2007 film by Brian Robbins
Q1129566	island in South Sandwich Islands
Q1129567	1931 film by Howard Hawks
Q112957	county in South Carolina, United States
Q1129573	vehicle tunnel between Canada and the United States
Q1129611	1989 comedy film directed by Susan Seidelman
Q1129650	association football club in Albania
Q11297	group of buildings in New York City
Q1129761	2006 film by Miloš Forman
Q1129778	1955 film directed by Elia Kazan
Q112989	German judge
Q11299	borough of New York City, New York, United States
Q112993	county in Michigan, United States
Q1129985	44th edition of the Copa América
Q1130	German city in the Märkischer Kreis district of North Rhine-Westphalia
Q113000	Belgian association football club
Q113005	county in Georgia, United States
Q1130084	1961 film by Robert Rossen
Q1130095	7th CONMEBOL Cup
Q113017	county in Idaho, United States
Q1130227	football tournament edition
Q1130264	municipality in Skåne County, Sweden
Q113029	county in Colorado, United States
Q1130297	2005 film by John Stockwell
Q1130325	football tournament
Q1130340	football tournament
Q113041	county in Nebraska, United States
Q1130457	film school in Moscow, Russia
Q1130480	county in Wisconsin, United States
Q113052	2005 film by Cameron Crowe
Q113056	county in Minnesota, United States
Q11306107	football tournament that concluded in 2015
Q1130664	2002 film by Todd Haynes
Q113079	county in Illinois, United States of America
Q1130849	association football club in Liverpool, England
Q1130910	1935 film by Harry Lachman
Q11309299	American film editor
Q113117	county in Texas, United States
Q1131173	1959 film by Joseph L. Mankiewicz
Q1131189	football club in Montevideo, Uruguay
Q1131225	1990 psychological horror/drama miniseries directed by Tommy Lee Wallace
Q1131279	2002 film by Tom Brady
Q1131340	road in Japan
Q1131380	1996 animated film directed by Henry Selick
Q1131439	solar eclipse
Q1131669	2005 film by Peter Segal
Q1131675	1968 Walt Disney film directed by Jerry Paris
Q113185	county in Kentucky, United States
Q113206	American actor, screenwriter and director
Q113220	county in Ohio, United States
Q1132231	1978 miniseries directed by David Lowell Rich
Q1132340	division of West Bengal
Q1132346	public research university in Raleigh, North Carolina, United States
Q1132365	American basketball player
Q113237	county in Ohio, United States
Q1132439	television series
Q113246	Dutch / Moroccan association football player
Q1132514	Italian professional basketball team
Q1132527	American basketball player
Q1132535	1970 film by Arthur Penn
Q113255	county in Minnesota, United States
Q1132575	1982 film by Taylor Hackford
Q1132617	actor, director, producer, writer
Q1132627	Serbian basketball club from Belgrade
Q1132632	American actor
Q1132646	American ice hockey player
Q1132676	American basketball player and coach
Q113275	county in Minnesota, United States
Q1132799	Nagoya Municipal Subway system in Nagoya, Aichi prefecture, Japan
Q113293	county in Texas, United States
Q1132960	American writer
Q1132963	1977 Biopic by Ken Russell
Q1132978	2011 film directed by Ralph Fiennes
Q113313	county in Texas, United States
Q1133204	1991 video game developed by Capcom
Q1133277	1993 film by Woody Allen
Q113328	Austrian-born film and stage actor (1902–1983)
Q1133316	1998 film by Frank Coraci
Q113336	American film editor
Q1133395	1976 film by Blake Edwards
Q1133464	Italian painter (1605-1682)
Q1133475	association football club in Brazil
Q113354	county in Minnesota, United States
Q1133546	Dutch painter (1660-1704)
Q1133610	1998 film by John McNaughton
Q1133647	1948 film by Howard Hawks
Q1133723	1932 film by Tod Browning
Q1133777	Dutch Canadian painter (1815-1872)
Q1133810	Canadian ice hockey player
Q1133887	1943 short film directed by Jack Kinney
Q1134271	2002 film by Roger Kumble
Q1134293	American business consultant and writer
Q113438	municipality in Innlandet, Norway
Q1134390	1939 film by Anatole Litvak
Q1134502	1939 western film by George Nicholls Jr.
Q1134623	railway line in Miyagi prefecture, Japan
Q113464	rural municipality in Ontario, Canada
Q113466	municipality in Innlandet, Norway
Q1134757	circle of latitude
Q1134785	railway station in Uji, and Fushimi-ku, Kyoto, Kyoto prefecture, Japan
Q1135061	railway line in Japan
Q11351364	Kazakhstani speed skater
Q113514	former municipality in Nordland in Norway
Q1135170	railway line in Japan
Q1135365	1994 American film directed by Jessie Nelson
Q113557	German chess player
Q1135616	district of Gujarat, India
Q113566	actress
Q1135694	national expressway on the island of Honshū in Japan
Q113571	former municipality in Sogn og Fjordane, Norway
Q1135770	Canadian ice hockey defenceman
Q1135806	Canadian ice hockey player
Q1135865	human spaceflight
Q1135874	human spaceflight
Q113595	municipality in Trøndelag, Norway
Q1135966	animated television series
Q1135967	Italian painter, ca. 1550-1627
Q1136016	association football club in Italy
Q1136071	episode of Star Trek: The Original Series (S2 E6)
Q1136084	episode of Star Trek: The Original Series (S2 E15)
Q113614	Russian ice hockey player
Q1136194	region of Brazil, composed of nine states
Q113622	former municipality in Østfold, Norway
Q1136226	public joint-stock company uniting the largest aircraft building enterprises of Russia
Q1136238	Canadian ice hockey defenceman
Q1136502	river in southern Minnesota over 300 miles long
Q1136687	award
Q113673	municipality in Stockholm County, Sweden
Q1136736	1909 film
Q113676	American animated television series
Q113679	municipality in Stockholm County, Sweden
Q1136806	American film editor and football player
Q113682	former municipality in Hordaland, Norway
Q1136874	university in Minnesota
Q113692	municipality in Stockholm County, Sweden
Q113697	municipality in Troms og Finnmark, Norway
Q1137	cultural region in France
Q1137089	manned spaceflight to the International Space Station
Q113710	municipality in Nordland, Norway
Q113714	German basketball player
Q113718	municipality in Stockholm County, Sweden
Q113720	municipality in Sogn og Fjordane, Norway
Q1137202	island in the South Atlantic
Q1137213	1985 film by Andrei Konchalovsky
Q1137236	2011 film
Q113729	municipality in Troms og Finnmark, Norway
Q113730	municipality in Stockholm County, Sweden
Q1137310	2007 American thriller slasher film directed by Quentin Tarantino
Q1137372	1995 film by Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell, Allison Anders
Q1137381	Kuwait-based pan-Arab development finance institution
Q113740	former municipality in Østfold in Norway
Q11374262	road in Kyōto Prefecture, Nara Prefecture and Wakayama Prefecture in Japan
Q1137479	railway station in Shizukuishi, Iwate district, Iwate Prefecture, Japan
Q113756	county in Iowa, United States
Q1137737	basketball team based in Ljubljana, Slovenia
Q1137804	cycling race
Q1137831	1989 film by Ron Howard
Q1137838	rail line owned by Meitetsu in Japan's Chubu region
Q1137842	governorate of the Russian Empire
Q1137856	1997 British musical comedy film starring the Spice Girls
Q1137899	2009 film by Judd Apatow
Q1137931	1946 film by Howard Hawks
Q1138000	American sitcom television series (2009-2018)
Q1138011	2006 film by Allen Coulter
Q113808	the first Hubble Space Telescope servicing mission
Q113815	county in Iowa, United States
Q113823	county in Iowa, United States
Q1138349	1953 outlaw biker film directed by László Benedek
Q1138382	1941 film by Raoul Walsh
Q1138384	university
Q1138393	1950 film by John Ford
Q1138425	1951 film
Q113843	county in Texas, United States
Q1138454	road in Japan
Q1138521	American ice hockey player
Q1138522	American ice hockey player
Q1138523	American ice hockey player
Q1138524	extensive and comprehensive German encyclopedia of classical scholarship
Q1138585	Canadian ice hockey player
Q1138597	Canadian ice hockey player
Q1138602	American voice actress, actress, and singer
Q1138605	American director and producer
Q1138621	Canadian ice hockey player
Q1138640	road in Japan
Q1138645	Canadian ice hockey defenceman
Q1138658	film production company
Q1138674	American actor
Q1138675	American ice hockey player
Q1138698	American chess player
Q1138704	Canadian ice hockey player
Q113875	county in Ohio, United States of America
Q1138789	American mini-major film studio
Q1138800	historical region
Q1138837	city in British Columbia, Canada
Q1138876	2004 film by Paul Weitz
Q1138916	2009 film by Brian Taylor, Mark Neveldine
Q113892	county in the state of Washington, United States
Q1139023	1953 film by Henry Koster
Q1139031	1935 film by Mark Sandrich
Q113906	county in Texas, United States
Q1139095	association football club
Q1139119	American actor
Q1139190	American actor
Q1139237	1993 film by Carl Reiner
Q1139271	Russian professional basketball team from Moscow, Russia
Q113937	Austrian classical scholar and archaeologist
Q1139454	1999 film directed by David Lynch
Q1139526	American stand-up comedian, actor, writer and podcaster
Q113962	county in Texas, United States
Q1139717	American actor
Q1139737	basketball team
Q1139794	2005 film by Judd Apatow
Q1139801	2010 film by Shawn Levy
Q1139827	parish in Louisiana, United States
Q1139833	parish in Louisiana, United States
Q1139839	county in Indiana, United States
Q113997	stage, film, and television actor
Q114	sovereign state in East Africa
Q1140085	1995 film by Tony Scott
Q1140106	association football club in Russia
Q1140171	1969 film by Sydney Pollack
Q1140172	1916 film by Charlie Chaplin
Q1140309	2006 television film directed by David L. Cunningham
Q1140317	1918 film by Charlie Chaplin
Q1140372	Brazilian footballer and manager
Q11404370	National expressway in Japan
Q1140439	2000 American drama film directed by Gus Van Sant
Q1140578	1992 film by David Lynch
Q1140597	cycling race
Q1140605	2001 film by Jerry Zucker
Q1140611	1939 film by William Wyler
Q1140762	1993 comedy film directed by Bill Duke
Q1140781	railway company
Q1140935	2001 film by Bobby Farrelly, Peter Farrelly
Q1140971	American actor
Q1140975	Burkinabe association football player
Q1140988	river
Q1141068	ward of Yokohama City, Japan
Q1141130	American actor
Q114115	1989 British historical drama film
Q1141170	two-part episode of Star Trek: The Next Generation
Q114119	Croatian association football player
Q1141230	Ivorian footballer
Q1141252	1989 film directed by Spike Lee
Q1141261	1936 film by Tod Browning
Q1141286	1995 film by Sean Penn
Q1141306	basketball team
Q1141326	former commune in Aveyron, France
Q1141355	aircraft carrier of the Essex class
Q1141373	Subrange of the Appalachian Mountains
Q1141377	commune in Aveyron, France
Q1141380	battle of World War II
Q114140	county in Ohio, United States
Q1141457	2002 film by Nick Cassavetes
Q1141460	1996 film by Andrew Bergman
Q1141493	1949 American drama film directed by William Wyler
Q11415817	toll-free expressway in Mie Prefecture and Nara Prefecture in Japan. Auxiliary of National Route 25.
Q1141637	Polish basketball player
Q1141700	island in the Bahamas
Q1141722	island
Q1141727	1995 film by Michael Caton-Jones
Q1141731	2005 film by Lars von Trier
Q1141737	American actor and comedian
Q1141746	1999 film by Harold Ramis
Q114179	American actor
Q1141859	civil medal of the Czech Republic
Q1141877	2000 film by Robert Redford
Q1141912	2003 film by Catherine Hardwicke
Q1142	former administrative region of France
Q1142013	ice hockey club in Gothenburg, Sweden
Q1142030	ice hockey team
Q1142045	1929 film by James Parrott
Q1142051	1996 American action film directed by Stuart Baird
Q1142127	railway line in Osaka, Osaka prefecture, Japan
Q11421404	road in Japan
Q11421405	road in Japan
Q11421406	road in Japan
Q11421408	road in Japan
Q11421410	road in Japan
Q11421411	road in Gunma prefecture, Japan
Q11421412	road in Japan
Q11421413	road in Japan
Q11421414	road in Japan
Q11421415	road in Japan
Q11421416	road in Japan
Q11421417	road in Japan
Q11421418	road in Japan
Q11421423	road in Japan
Q11421425	road in Hokkaido, Japan
Q11421428	road in Ibaraki prefecture, Japan
Q11421429	road in Ishikawa prefecture, Japan
Q11421430	road in Niigata prefecture, Japan
Q11421431	road in Japan
Q11421434	road in Akita prefecture, Japan
Q11421436	road in Japan
Q11421437	road in Japan
Q11421439	road in Chiba prefecture, Japan
Q11421440	road in Aichi prefecture, Japan
Q11421441	road in Japan
Q11421442	road in Japan
Q11421443	road in Japan
Q11421445	road in Japan
Q11421446	road in Japan
Q11421447	road in Japan
Q11421449	road in Japan
Q11421450	road in Japan
Q11421453	road in Japan
Q11421457	road in Japan
Q11421458	road in Niigata prefecture, Japan
Q11421459	road in Japan
Q11421461	road in Japan
Q11421463	road in Hiroshima prefecture, Japan
Q11421467	road in Niigata prefecture, Japan
Q11421468	road in Japan
Q11421470	road in Kyoto prefecture, Japan
Q11421473	road in Japan
Q1142181	1978 film directed by Blake Edwards
Q1142326	former French department (1790–1968)
Q1142504	commune in Ariège, France
Q1142773	metro line in Osaka prefecture, Japan
Q1142862	1976 American monster thriller film produced by Dino De Laurentiis
Q1142917	university
Q1142964	railway line in Chiba prefecture, Japan
Q1143000	Mexican association football club
Q1143339	1950 film by Allan Dwan
Q1143426	massively multiplayer online role-playing game
Q1143441	commune in Gers, France
Q1143470	American ice hockey player
Q1143699	subrange of the Appalachian Mountains in the United States
Q1143710	agglomeration community
Q1143712	one of 18 wards of the City of Yokohama, Japan
Q1143753	1934 film by Lloyd Bacon
Q1143771	1931 film by Sidney Franklin, Harold S. Bucquet
Q1143789	strait between the Inner and Outer Hebrides, Scotland
Q1143840	former commune in Haute-Garonne, France
Q1143898	Kyoto Municipal Subway line
Q1143959	commune in Ariège, France
Q1143968	human spaceflight
Q1143978	human spaceflight
Q1143980	human spaceflight
Q1143981	former commune in Ariège, France
Q114405	American artist (1882-1971)
Q1144130	railway line in Japan
Q114415	1933 film by Frank Borzage
Q1144211	1937 film by Sidney Lanfield
Q1144353	1940 film by Wesley Ruggles
Q1144372	city in South Carolina
Q1144382	1949 film by Anthony Mann
Q1144422	1933 film by Howard Hawks, W. S. Van Dyke
Q114445	county in Texas, United States
Q114447	American actress
Q1144479	2009 film by Miguel Arteta
Q1144659	1942 film by Frank Capra, Anatole Litvak
Q1144739	municipality in the Netherlands
Q1144787	1938 film by Norman Taurog, Bruce Manning, Joe Pasternak
Q1144850	1950 film by Vincente Minnelli
Q1144967	2007 anthology film of 34 short films
Q1145054	television series
Q114519	American ice hockey player
Q1145275	2002 American war film on Navajo radio operators in WW II by John Woo
Q11454015	railway station in Miyagino-ku, Sendai, Miyagi prefecture, Japan
Q1145403	1941 American romantic comedy film directed by Clarence Brown
Q1145528	American actor
Q1145537	Canadian ice hockey player
Q1145552	digital library
Q1145732	1996 film by Barry Levinson
Q1145745	1944 film by Jacques Tourneur
Q1145814	system of public universities in Illinois
Q11459	American female tennis player
Q1146194	1992 film by Penelope Spheeris
Q11462	city in East Java Province, Indonesia
Q1146296	2000 film by Howard Deutch
Q114632	American-Irish animated children's television series
Q1146329	commune in Deux-Sèvres, France
Q1146345	2013 film by Jon M. Chu
Q1146552	1991 film by Kathryn Bigelow
Q1146570	1986 American science fiction comedy film directed by Willard Huyck
Q114665	1955 film by Mervyn LeRoy
Q114683	German actor (1904-1994)
Q1147028	railway line in Japan
Q1147054	metro line in Tokyo, Japan
Q1147101	Canadian ice hockey player
Q1147104	American voice, film and television actor
Q1147132	Canadian ice hockey player
