Q100	Boston
Q188433	Apollo 12
Q188439	Tangled
Q18844656	The Secret Life of Pets
Q18844725	Fear the Walking Dead
Q18844750	The Man in the High Castle
Q188457	Danny Welbeck
Q1884584	Magnus Johansson
Q188459	Goldie Hawn
Q1884672	Ri-Bhoi district
Q188471	Arcidosso
Q188480	Campagnatico
Q188486	Apollo 7
Q188489	Cape Breton Island
Q188490	Capalbio
Q188492	Seth MacFarlane
Q1884921	Lady in the Lake
Q188499	Castel del Piano
Q1885	Jürgen Locadia
Q188505	Constanța County
Q1885071	Milledgeville
Q1885160	Maidie Norman
Q188527	Naxos Island
Q188544	Dida
Q188547	Castiglione della Pescaia
Q188548	UEFA Euro 1976
Q188564	Massimo Ambrosini
Q188565	Cinigiano
Q188573	Civitella Paganico
Q188587	Follonica
Q1885916	Matthew Busche
Q188598	Gavorrano
Q1886	Atalanta B.C.
Q1886445	Tyrone Corbin
Q188652	Rocky
Q188656	FK Partizan
Q188658	Aïcirits-Camou-Suhast
Q1886640	Ali Fergani
Q188673	Târgoviște
Q18869	Caucasus
Q188696	Christian Vieri
Q188705	Maui
Q188712	Empire of Japan
Q188718	The Bridge on the River Kwai
Q188720	Michael Laudrup
Q188726	Anthony Minghella
Q188731	Rhodes
Q188740	Museum of Modern Art
Q1887532	Route nationale 2
Q188760	Hulk
Q188771	French Academy of Sciences
Q188772	Willem Dafoe
Q188776	Castres
Q1887840	Soyuz TMA-10M
Q188787	2008–09 UEFA Champions League
Q188792	David Schwimmer
Q188793	Joan Capdevila
Q188806	Kitakyūshū
Q188813	Maramureș County
Q1888170	The Beast from 20,000 Fathoms
Q188822	Asian Development Bank
Q18883455	The Accountant
Q188841	Fortaleza E.C.
Q188845	Rain Man
Q188850	Mamma Mia!
Q1888508	Man Wanted
Q1888524	Man Trouble
Q1888547	Hondo
Q18887	Kick Buttowski: Suburban Daredevil
Q1888722	1932–33 Serie B
Q1888824	Mandalay
Q188892	Ribeirão Preto
Q188897	Nova Iguaçu
Q18890040	2015 Sampson Flat bushfires
Q188901	Sorocaba
Q18890149	2015 Amstel Gold Race
Q1889017	Mandaue
Q18890259	2015 Clásica de San Sebastián
Q1889124	Richard Riehle
Q188918	Aleksandr Anyukov
Q188920	Delta Air Lines
Q188921	Igor Denisov
Q1889355	Robert Costanzo
Q188937	2009–10 Premier League
Q188938	Djerba
Q1889482	Matt Gerald
Q1889498	Interrupted Melody
Q188955	Matthew McConaughey
Q1889803	Mattheus Terwesten
Q188983	Giorgos Karagounis
Q188984	New York Rangers
Q1889934	Johann Georg van Caspel
Q1890	Bengkulu
Q1890060	Manfred Wagner
Q189008	Konstantin Zyryanov
Q189012	Alex Song
Q189022	Imperial College London
Q18904	Pair of Kings
Q189043	Petrópolis
Q189054	Batman Returns
Q189081	Howard Hughes
Q1890891	Mark Tinordi
Q189097	peseta
Q1891	Bologna
Q189138	Hermosillo
Q18914861	Batman
Q18914877	The Body Disappears
Q18914958	Escape from Crime
Q18914995	God Is My Partner
Q18915072	The Last Ride
Q18915117	Murder in the Big House
Q189153	Saint-Cloud
Q1891556	Manuel Golmayo Torriente
Q189170	Jagiellonia Białystok
Q189180	UEFA Champions League 2010-11
Q189184	Rafael Pereira da Silva
Q1891872	October Road
Q18920	Steve Jablonsky
Q18920271	2015 MTN-Qhubeka
Q1892064	Mapei
Q18921666	Gerald Downey
Q189217	Davor Šuker
Q189226	Amanda Seyfried
Q189236	Velletri
Q189240	Kevin Garnett
Q1892408	Warren Stevens
Q1892506	Marc-Antoine Pouliot
Q1892578	Marc Chouinard
Q189266	Eastern Front
Q189267	Two and a Half Men
Q1892718	Marc Lawrence
Q1892730	Marc Moro
Q1892905	Marc de Maar
Q1893	Bologna FC 1909
Q1893008	Marcel Dalio
Q189322	Latvia national football team
Q189325	Jet Propulsion Laboratory
Q189327	CONCACAF Gold Cup
Q189328	Lovech
Q189330	The Dark Knight Rises
Q189351	Sean Astin
Q1893631	Robert Mark Kamen
Q18938	Thomas Jane
Q1894	Memphis Depay
Q189400	Brooke Shields
Q189407	Gloria Stuart
Q189411	CSI: Miami
Q189415	Andy Garcia
Q1894164	Marcus Giamatti
Q189419	Zemun
Q1894251	Marcus Krüger
Q189471	Cupertino
Q1894786	Route nationale 16
Q189489	Zendaya
Q189490	Jennifer Lawrence
Q189505	Jaws
Q189526	Brian De Palma
Q189540	Seven Samurai
Q189554	Katherine Heigl
Q189571	UEFA Euro 2016
Q18957824	Heroes Reborn
Q189600	The Matrix Reloaded
Q1896303	Maria Schwarz
Q189671	FC Basel
Q189686	Patrick Kluivert
Q189687	Zenobia
Q189692	Genk
Q189694	Wesley Snipes
Q1897	Cagliari
Q1897083	Route nationale 10
Q1897128	Marie Antoinette
Q189715	Courbevoie
Q1897249	Marie Bernays
Q189729	Philip Glass
Q1897321	Scaramouche
Q189733	Zenon Konopka
Q18976	Ole Gunnar Solskjær
Q18978164	Demi de Jong
Q1897867	Jan Veth
Q189823	Haikou
Q189827	John Arne Riise
Q1898553	Willowbrook
Q1898575	Soquel
Q1898611	Westmont
Q189875	Alice in Wonderland
Q189889	Chicago
Q189892	Gheorghe Hagi
Q189895	Jennifer Jones
Q1899	Kyiv
Q1899032	Mario Runco, Jr.
Q189904	Zenting
Q18992	Gregory Itzin
Q189932	Dyskobolia Grodzisk Wielkopolski
Q18994	Luise Rainer
Q189952	Lääne-Viru County
Q1899592	Mariánské Radčice
Q189972	Bank of Central African States
Q18998	Herborn
Q189984	Franco Baresi
Q1899850	Mark Twain Prize for American Humor
Q189987	Nicolaas Bloembergen
Q1899920	Panglao Island
Q1899949	Mark Beaufait
Q1899958	Mark Bell
Q1900	Cagliari Calcio
Q190008	Central American Bank for Economic Integration
Q1900122	Mark Hartigan
Q1900163	Mark Janssens
Q1900193	Mark Lamb
Q1900225	Club 12 de Octubre
Q190025	Federal Republic of Central America
Q1900250	Mark Mancari
Q190029	Kosovo War
Q1900329	Mark Osborne
Q1900369	Mark Renaud
Q1900474	Mark Stuart
Q1900506	Mark Watters
Q1900776	Ivars d'Urgell
Q190080	Carnegie Mellon University
Q190086	Some Like It Hot
Q190094	Allen Iverson
Q190112	2006–07 FA Premier League
Q190118	La Roche-sur-Yon
Q190134	Urbania
Q190135	The Little Mermaid
Q190145	Spider-Man 2
Q190148	Renzo Piano
Q190152	Larry Bird
Q190162	Zoe Saldana
Q190164	Acqualagna
Q190168	Yoruba people
Q190198	Apecchio
Q190214	The Lord of the Rings trilogy
Q190221	Auditore
Q190235	Horsens
Q190242	Barchi, Marche
Q190252	Eastern European Time
Q190285	Belforte all'Isauro
Q1903	Catania
Q1903090	Martha Rosler
Q19031	Zak Penn
Q19034	Arent de Gelder
Q190373	Joseph Barbera
Q190379	Ian McEwan
Q190386	Rachel McAdams
Q1903907	Martin Grenier
Q1904	Ontario
Q1904018	Humboldt
Q190409	Borgo Pace
Q1904313	Martin Krause
Q190464	HSBC
Q1904899	Martin Ručinský
Q19050	STS-51-L
Q190514	Cagli
Q190515	Craig Bellamy
Q1905185	Johann Dominik Bossi
Q190519	Felicity Huffman
Q190523	Christopher Plummer
Q190525	Memento
Q190526	BSC Young Boys
Q190535	Cantiano
Q190554	Carpegna
Q190561	Standard Liège
Q190566	Cartoceto
Q19056763	2015 Omloop Het Nieuwsblad
Q190568	Eadweard Muybridge
Q1905817	Marty McInnis
Q190584	Colbordolo
Q190588	Love Actually
Q1906	Caserta
Q190602	Annette Bening
Q190608	Rui Costa
Q1906085	Marvin Hatley
Q1906129	Stéphane Rossetto
Q190618	New York Giants
Q190623	Fermignano
Q190631	Bette Midler
Q1906400	Mary Stevens
Q190643	Platoon
Q190646	Fossombrone
Q19069	The Magnificent Seven
Q1907	Hugo Lloris
Q190766	Martin Ryle
Q190772	Siméon Denis Poisson
Q190776	Skylab
Q190794	Famke Janssen
Q190795	Roscosmos State Corporation
Q190828	Petah Tikva
Q190847	Alexandroupoli
Q1908566	Laguna Beach
Q19089	GoldenEye
Q1909	Adil Rami
Q19090	Robin Hood
Q1909043	Mats Hallin
Q190908	Seven
Q190916	Club Brugge K.V.
Q1909183	Matt Frattin
Q190919	Cadel Evans
Q190929	Maxi Rodríguez
Q190930	Vysočina Region
Q1909345	Matteo Busato
Q190943	Wisła Kraków
Q1909465	Matthew Barnaby
Q1909489	Matt Bradley
Q190959	Transvaal Province
Q190963	Frascati
Q190994	Sissy Spacek
Q190998	Anjelica Huston
Q191	Estonia
Q1910094	Matthias Krizek
Q19101	Leonardo da Vinci–Fiumicino Airport
Q191015	Trakai
Q191027	Patricia Neal
Q191040	Mr. & Mrs. Smith
Q191066	15th arrondissement of Paris
Q1910718	Mattias Norström
Q191074	Babel
Q191080	Seydou Keita
Q191084	Val Kilmer
Q191091	Karlovy Vary Region
Q191098	Comino
Q1911	Olivier Giroud
Q191100	Transformers: Revenge of the Fallen
Q191101	FC BATE Borisov
Q191104	Sean Bean
Q191115	Albano Laziale
Q1911200	The Irish in Us
Q191130	Kanazawa
Q191132	Harvey Keitel
Q191136	James Milner
Q191139	Fabien Barthez
Q191141	Sète
Q191142	Moldova national football team
Q191161	30 St Mary Axe
Q191162	Emile Heskey
Q191224	Walt Disney Pictures
Q1912371	Max Clara
Q1912498	Max Feldbauer
Q1913	Florent Malouda
Q191314	Godavari River
Q1913226	Max Pacioretty
Q1913679	Max Zaslofsky
Q191384	International Bank for Reconstruction and Development
Q191414	Lenin's Mausoleum
Q191415	Asnières-sur-Seine
Q191471	Pedro Cea
Q191472	BBC One
Q191476	David Ferrer
Q191492	Bobby Moore
Q191543	Terminator Salvation
Q19155	Henry Fonda
Q191582	COMECON
Q191583	Royal Swedish Academy of Sciences
Q1915946	"Jubilee Medal ""40 Years of the Armed Forces of the USSR"""
Q1915952	"Jubilee Medal ""60 Years of the Armed Forces of the USSR"""
Q1915961	"Medal ""For Battle Merit"""
Q1916	Patrice Evra
Q191615	Pizza Hut
Q191629	Zerfaliu
Q191642	São José dos Campos
Q191652	Santo André
Q1916626	The Seventh
Q191684	Palomar Observatory
Q191715	WarnerMedia
Q191719	Zooey Deschanel
Q191740	Fernando Verdasco
Q191746	Apollo 10
Q191748	Lucas Cranach the Elder
Q1917483	Prat de Comte
Q191753	Cinderella
Q191755	Jim Jarmusch
Q191759	Ventimiglia
Q191765	Anglet
Q191766	Samantha Stosur
Q191772	Mende
Q191793	Karviná
Q1917932	Grounds for Marriage
Q1917950	Mein Schiff 1
Q1918	Franck Ribéry
Q191805	Mladá Boleslav
Q191828	Marisa Tomei
Q191843	R.C. Lens
Q191848	Khalid Boulahrouz
Q19185	George Bernard Shaw
Q19186	Middlesex
Q191862	East European Plain
Q1918669	Mission Hills
Q191885	Thiago Motta
Q191887	Montbel
Q191888	Queen Mary 2
Q191889	Rakvere
Q1919002	Melanie Paxson
Q1919098	City of Melbourne
Q19193	Interstate 8
Q191966	Gene Wilder
Q19198	Chester Bennington
Q19199	Brad Delson
Q19200	Joseph Hahn
Q19200960	2015–16 2. Bundesliga
Q19201	Mike Shinoda
Q19202	Dave Farrell
Q192022	Broken Embraces
Q192031	Kakha Kaladze
Q1920378	Mendocino
Q19204232	2015 Volta ao Algarve
Q19204752	The Boss
Q19205	Rob Bourdon
Q19206	Heilongjiang
Q192062	Bartolomé Esteban Murillo
Q192064	Svetlana Kuznetsova
Q19207	Canosio
Q192071	F.C. Nantes
Q192073	Little Miss Sunshine
Q192081	New Jersey Devils
Q192083	Philadelphia Flyers
Q1920879	Ex-Lady
Q19209	Caprauna
Q19210	Caraglio
Q192115	Sin City
Q19212	Caramagna Piemonte
Q192122	Esteban Cambiasso
Q192129	Ustica
Q19213	Cardè
Q192131	Giuseppe Meazza
Q1921404	Shimla District
Q192155	Kotka
Q192165	Danny Glover
Q192175	Dwight Yorke
Q192176	Bender
Q192184	Saint Helena, Ascension and Tristan da Cunha
Q192185	Aaron Copland
Q1922045	Gillis d'Hondecoeter
Q192206	Intolerance
Q192212	Cars 2
Q192213	Holon
Q192217	Rob Schneider
Q192218	Ted Bundy
Q192225	Netanya
Q1922297	Mesa Airlines
Q1922367	The Tribune
Q192240	Northampton
Q1922402	Meshach Taylor
Q192243	Struve Geodetic Arc
Q192253	ŠK Slovan Bratislava
Q192259	CSI: NY
Q192265	Focșani
Q192277	Ladaux
Q192281	Severnaya Zemlya
Q192301	Broken Flowers
Q1923017	Green Mansions
Q192314	JPMorgan Chase
Q192334	University of North Carolina at Chapel Hill
Q1923676	The Cure
Q192378	Champigny-sur-Marne
Q192379	Aizawl
Q192387	Londrina
Q192393	Évry
Q1924	Steve Mandanda
Q19240230	La Valletta Brianza
Q192406	Communist Party of Greece
Q192410	Jennifer Hudson
Q192415	Volta River
Q192438	Bègles
Q192449	Les Monts-Verts
Q19245400	Digging for Fire
Q192491	Olof Mellberg
Q192496	Robert Fulton
Q19249870	arrondissement of Colmar-Ribeauvillé
Q19249879	Álvaro Cuadros
Q192517	Boulder
Q19255203	2015 Volta a Catalunya
Q192557	DreamWorks
Q192567	Ili River
Q19258904	2015 Vuelta a Murcia
Q192597	Hibernian F.C.
Q1925975	Lampre-Merida 2013
Q192604	Balkars
Q192606	Leskovac
Q1926164	Bend of the River
Q192633	La Fage-Montivernoux
Q192635	Ronald Koeman
Q192640	Dejan Stanković
Q192641	Trabzonspor
Q192643	Aaron Eckhart
Q192645	Saint-Étienne-du-Valdonnez
Q192657	Le Pont-de-Montvert
Q192660	Battle of Okinawa
Q192663	Malbouzon
Q192671	Arturo Vidal
Q1926802	Michael Valgren
Q1926804	Michael A. Baker
Q192682	Ryan Reynolds
Q192685	Joseph Hooton Taylor
Q192686	Prometheus
Q192693	Chauchailles
Q192697	South Moravian Region
Q19270	Celebes Sea
Q1927007	Mike Blunden
Q192702	Ústí nad Labem Region
Q192707	Charles Barkley
Q192709	Le Monastier-Pin-Moriès
Q192719	Chambon-le-Château
Q19272	Cava de' Tirreni
Q192720	Thomas Gainsborough
Q192724	Iron Man
Q192733	Sheremetyevo International Airport
Q192736	2006–07 UEFA Champions League
Q192747	Shaun Wright-Phillips
Q19275	San Severo
Q192751	Anaheim Ducks
Q192753	Broadwater County
Q192756	Sainte-Enimie
Q192762	Darren Aronofsky
Q192765	Saint-Amans
Q19277	Cerignola
Q192770	Saimaa
Q19278	Bitonto
Q19279	Aversa
Q192807	Ramat Gan
Q192816	Saint Barbara
Q19281963	Kim de Baat
Q19282127	Rotem Gafinovitz
Q19282240	Kaat Hannes
Q19282301	Chantal Hoffmann
Q192825	Diniyar Bilyaletdinov
Q1928335	Robert Hogan
Q1928372	Mira Loma
Q192856	Emmanuel Eboué
Q192859	Etterbeek
Q19286	Manfredonia
Q19286789	Johann Heinrich Richter
Q1928695	When a Man Loves a Woman
Q1928814	PeopleSoft
Q192890	Vancouver Canucks
Q1928984	Mikhail Rasumny
Q1928989	Treaty on Open Skies
Q192901	Le Buisson
Q1929020	Honor Among Lovers
Q192904	Havířov
Q1929042	Michael Rennie
Q1929129	Michael Rupp
Q192917	Erice
Q192926	Kazanlak
Q1929297	Michael Schur
Q1929303	Michael Schwarzmann
Q192934	Angels & Demons
Q192955	Steve Nash
Q1929616	Michael Tronick
Q192963	Luís Fabiano
Q192965	Juan Román Riquelme
Q192979	Clash of the Titans
Q192984	Sainte-Colombe-de-Peyre
Q192990	Guy Ritchie
Q1930	Ottawa
Q19300	Molfetta
Q193000	Bruno Alves
Q193002	Gotthard Base Tunnel
Q193007	Sukhoi
Q193008	Saint-Privat-de-Vallongue
Q193020	Tim Duncan
Q193021	Duque de Caxias
Q193023	Capitol Records
Q193024	Alexander Frei
Q193048	Laurence Fishburne
Q193052	Pau Gasol
Q19306	Altamura
Q193066	Breakfast at Tiffany's
Q1930695	Paul-Jose M'Poku
Q193070	Matt Dillon
Q1930823	Michel Kreder
Q1930850	AG2R La Mondiale 2013
Q193095	Gueytes-et-Labastide
Q1930992	Union Pacific
Q193102	Montgomery Clift
Q193103	Herceg Novi
Q193105	James Woods
Q1931078	Alta Sierra
Q193108	Tony Parker
Q193109	Le Recoux
Q1931119	Michele Padovano
Q193114	Roullours
Q19313	Barysaw
Q1931405	Mickowsee
Q193146	Anthony Perkins
Q19315473	Snowden
Q193167	Cascade County
Q19317	FIFA World Cup
Q1931777	Dayton
Q193183	Alès
Q19319	Acireale
Q193190	Famagusta
Q193196	University College London
Q1932023	Midnight Mary
Q19320969	Joy
Q19321019	Miss Peregrine's Home for Peculiar Children
Q193212	Seann William Scott
Q193253	Molokaʻi
Q19326	Fiumicino
Q1932621	West Wing
Q193266	Liberec Region
Q193278	Lee Van Cleef
Q193295	Hradec Králové Region
Q1933029	Mike Allison
Q193307	Olomouc Region
Q1933070	Mike Brown
Q1933075	Rio Grande Valley Vipers
Q1933104	Mike Crowley
Q1933127	Mike Eastwood
Q193313	Saint-Maur-des-Fossés
Q193317	Pardubice Region
Q1933201	Mike Heidt
Q1933235	Mike Kennedy
Q1933249	Mike Kitchen
Q1933256	Mike Lalor
Q193326	Goldman Sachs
Q1933274	Mike Leclerc
Q1933338	Mike McKee
Q1933347	Mike Millar
Q193338	Danny Elfman
Q1933384	Mike Murphy
Q1933453	Mike Ramsey
Q1933464	Mike Post
Q1933467	Mike Rogers
Q19335154	2015 Kuurne–Brussels–Kuurne
Q1933535	Mike Stevens
Q1933555	Mike Sullivan
Q1933583	Mike Walton
Q1933587	Mike Weaver
Q19335930	Bora-Argon 18 2015
Q19335995	Europcar 2015
Q19336056	2015 Nippo-Vini Fantini
Q193361	Carlos Moyá
Q19336102	Southeast 2015
Q19336122	2015 Wanty-Groupe Gobert
Q19336189	2015 Cult Energy
Q19336191	Androni Giocattoli-Sidermec 2015
Q193370	Montreuil
Q193377	Stade Malherbe Caen
Q1933953	Perfect Sense
Q193413	Rybinsk
Q193428	Sakai
Q193431	Parc des Princes
Q193439	Dubai International Airport
Q193448	Parcé
Q193462	Gilmore Girls
Q19346732	2015–16 Premier League
Q19347291	Deadpool
Q193484	assassination of John F. Kennedy
Q193488	Steven Pienaar
Q1935	Eric Abidal
Q193501	La Fontenelle
Q193517	Emily Blunt
Q19353	FC Anzhi Makhachkala
Q193532	Chirac
Q19353497	Mr. Cinderella
Q1935547	Minefield
Q193555	Brendan Fraser
Q19356	Pinocchio
Q193568	Nuno Gomes
Q193570	Sunset Boulevard
Q1936	Djibril Cissé
Q19361204	2015 La Flèche Wallonne
Q19361205	2015 Liège–Bastogne–Liège
Q19361206	2015 Tour de Romandie
Q1936143	College Swing
Q1936195	The Phynx
Q193625	Marcel Desailly
Q193628	Sofia Coppola
Q1936323	Star 80
Q193637	Scottie Pippen
Q19363738	Out of This World
Q19364	Andrés Guardado
Q193645	Quincy Jones
Q193648	Tony Scott
Q193653	Jack Palance
Q193655	John Hasbrouck Van Vleck
Q193659	James McAvoy
Q193665	Tomáš Berdych
Q19366591	2015 Trofeo Laigueglia
Q193668	Benicio del Toro
Q193676	Ludacris
Q193677	Angra do Heroísmo
Q193691	Maxent
Q193695	The Wizard of Oz
Q1937	William Gallas
Q193701	SpaceX
Q193703	Gabrielle Giffords
Q193706	David Luiz
Q193711	Rasen-Antholz
Q193717	Jaroslav Plašil
Q19371744	2015 Arctic Race of Norway
Q193719	Cheb
Q19372	Carrù
Q193721	Tábor
Q193727	Johns Hopkins University
Q193737	Tennessee River
Q1937387	Minnesota State University, Mankato
Q193743	La Graverie
Q193749	Legia Warsaw
Q193757	Saint-Ouen-des-Besaces
Q193768	Sulley Muntari
Q1938003	Phi Beta Kappa Society
Q193803	Roger Penrose
Q193815	Ryan Gosling
Q193821	Saumur
Q193835	Good Will Hunting
Q193876	Bradley Wiggins
Q193877	Ivry-sur-Seine
Q19388493	Sindre Lunke
Q193896	Malta
Q193899	Fontenay-sous-Bois
Q1939	Nicolas Anelka
Q193903	Cergy
Q19392	Éver Banega
Q193920	Rueil-Malmaison
Q19392897	2015 Tour of Norway
Q19394929	Georges Baert
Q193963	The Odd Life of Timothy Green
Q194005	Augusta
Q194009	Tupolev
Q19401193	Kato Kivides
Q19401979	2015 Strade Bianche
Q194052	Serie B
Q194068	Apollo 15
Q194081	Sestri Levante
Q194082	Apollo 1
Q194087	Hirosaki
Q194107	Martín Cáceres
Q194116	Detroit Red Wings
Q194121	Boston Bruins
Q194126	Calgary Flames
Q194136	Riva del Garda
Q194142	Friends with Money
Q194149	Alex Oxlade-Chamberlain
Q194170	FC Aktobe
Q194197	Castets-en-Dorthe
Q194218	Fossès-et-Baleyssac
Q194246	tennis at the 2008 Summer Olympics
Q1942561	Mohamad Naser Al Sayed
Q1942598	Mohamed Mahmoud
Q1942732	Sergei Tarakanov
Q194280	Hugh Hefner
Q1943133	Mojave
Q194360	American Express
Q194364	Bear Island
Q194369	New York Islanders
Q194402	Joshua Reynolds
Q194413	Pearl Harbor
Q19442	Barnsley F.C.
Q1944224	Francis Goes to West Point
Q194439	Marcos Senna
Q19444	Birmingham City F.C.
Q194451	Coll
Q19446	Blackburn Rovers F.C.
Q19449	Blackpool F.C.
Q19451	Bolton Wanderers F.C.
Q19453	Brighton & Hove Albion F.C.
Q1945304	East Khasi Hills district
Q19456	Bristol City F.C.
Q1945758	Monte Blue
Q19458	Burnley F.C.
Q194593	Erin Sanders
Q194599	Return to Me
Q19462	Charlton Athletic F.C.
Q19467	Crystal Palace F.C.
Q19470	Derby County F.C.
Q1947271	Julio Alberto Moreno
Q19473	Huddersfield Town A.F.C.
Q1947322	Aizawl district
Q1947531	City of Moreland
Q1947553	Moreno Hofland
Q19477	Hull City A.F.C.
Q1948	Manitoba
Q1948062	Alberto Reynoso
Q19481	Leicester City F.C.
Q19481099	Jason Bourne
Q19482	Wimbledon F.C.
Q1948210	Catatumbo River
Q194838	Jean Capelle
Q1948479	Vojnův Městec
Q19487	Millwall F.C.
Q1948730	Gold Star
Q194881	Howard Hesseman
Q194887	Zürich Oerlikon railway station
Q19490	Nottingham Forest F.C.
Q19495	Peterborough United F.C.
Q1949548	Warlock
Q194965	Sota Nakazawa
Q19497	Oscar
Q19498	Sheffield Wednesday F.C.
Q19500	Wolverhampton Wanderers F.C.
Q1950050	Dragonwyck
Q1950207	Igor Novikov
Q1950393	Roxie Hart
Q19504	Fritz Lang
Q195041	Jennifer Hale
Q195042	Bentayou-Sérée
Q1950826	David Zwirner Gallery
Q19509	Stade Rennais F.C.
Q1951	Alberta
Q19510	EFL Championship
Q19512	FC Sochaux-Montbéliard
Q19513	Montpellier Hérault Sport Club
Q19513752	Steven Krueger
Q19514090	2015 Omloop van het Hageland
Q19516	Lille OSC
Q19516757	UnitedHealthcare 2015
Q19516764	Caja Rural-Seguros RGA 2015
Q19518	Toulouse FC
Q19518657	Natalya Saifutdinova
Q19518890	Arlenis Sierra
Q19519085	Gloria Rodríguez
Q19519366	Georgia Williams
Q1952	Nova Scotia
Q19520	Podolsk
Q19521	AS Saint-Étienne
Q19521319	Bjørn Tore Hoem
Q19521321	Alessandro Tonelli
Q19523	A.S. Nancy-Lorraine
Q195248	Andreanof Islands
Q195255	Justin Hartley
Q19526	Maya Angelou
Q195274	Little Women
Q1953	Yerevan
Q1953523	Follow That Dream
Q1953834	Murray Craven
Q1953971	Phantom Lady
Q195421	Saint-Laurent-Bretagne
Q195475	Takahito Soma
Q195480	Fel
Q1954855	Ahmed Fathy
Q1955024	Music for Millions
Q1955033	They Shall Have Music
Q1955656	Lake of the Pines
Q1955868	So Proudly We Hail!
Q19559859	Tom Fadden
Q19561082	Claudia Koster
Q19561372	Alice Maria Arzuffi
Q19561384	Riejanne Markus
Q195623	Alubijid
Q1956282	Kazadi Mwamba
Q195658	Monroe County
Q19566	Simferopol
Q195664	Wayne County
Q195676	Claveria
Q195677	Simacourbe
Q19568	AFC Bournemouth
Q195685	Seibu Shinjuku Line
Q195686	El Salvador
Q1956926	Mystery, Alaska
Q195696	Gitagum
Q1957	Vologda
Q19570	The Good Wife
Q195709	Initao
Q19571	Brentford F.C.
Q19571717	Rozanne Slik
Q1957174	The Catered Affair
Q195755	Laguindingan
Q195767	Libertad
Q19576833	2015 Tour de Pologne
Q19576834	2015 Tour de Suisse
Q19576835	2015 Tour of the Basque Country
Q19577492	Asja Paladin
Q19577493	Soraya Paladin
Q19577695	Pauliena Rooijakkers
Q195799	Magsaysay
Q19580	Coventry City F.C.
Q195824	Leinfelden station
Q1958265	Møsvatn
Q19585	R. Charleroi S.C.
Q19587	Crewe Alexandra F.C.
Q195870	Opol
Q195871	G. D. Spradlin
Q1958759	Müller
Q19589	Doncaster Rovers F.C.
Q1958951	Boris Alexandrovich Alexandrov
Q19590955	Rogue One
Q19593	Celtic F.C.
Q195937	Villanueva
Q1959378	Mother and Child
Q1959458	Mārtiņš Karsums
Q19594829	Antonio Nibali
Q195949	Evan Almighty
Q19597	Rangers F.C.
Q19598	Notts County F.C.
Q19598062	Floris Gerts
Q19598847	2015 Eneco Tour
Q19598850	2015 Giro di Lombardia
Q19598853	2015 GP Ouest-France
Q19598856	2015 Grand Prix Cycliste de Montréal
Q19598859	2015 Grand Prix Cycliste de Québec
Q19598869	2015 Vattenfall Cyclassics
Q1959913	Richard Williams
Q1959934	Magno Mocelin
Q196004	From Dusk till Dawn (franchise)
Q19600406	Florence Wix
Q19600977	2015 Gran Premio Nobili Rubinetterie
Q19601	Oldham Athletic A.F.C.
Q196014	Yuba County
Q19603	FC Twente
Q19604	Portsmouth F.C.
Q19605393	Mónika Király
Q19606232	2015 Dwars door Vlaanderen
Q19606970	canton of Carmaux-1 Le Ségala
Q19606971	canton of Carmaux-2 Vallée du Cérou
Q19607	Sheffield United F.C.
Q1960870	Without Reservations
Q196107	Vancouver Whitecaps FC
Q1961198	Dübendorf railway station
Q19612	Preston North End F.C.
Q19614711	Independence Day: Resurgence
Q196183	Wabash River
Q196185	Russell Westbrook
Q1961880	The Fortune
Q196219	Henrikh Mkhitaryan
Q19626781	Preacher
Q19628	Olympiacos F.C.
Q1962835	Hearts of Darkness: A Filmmaker's Apocalypse
Q19628698	Nicolai Cherkasov
Q196287	Mihajlo Pupin
Q19628790	Dries Van Gestel
Q19628871	Joel Fluellen
Q19628922	Ivo Oliveira
Q19629089	Willie Smit
Q19629539	Diego Rubio
Q19629563	Artem Nych
Q1963	Khartoum
Q19630093	Rúben Guerreiro
Q19630134	Simone Petilli
Q1963035	One Little Indian
Q1963094	Dmytro Yavornytsky
Q1963258	Nader El-Sayed
Q19634	Swindon Town F.C.
Q19636560	SpaceX CRS-9
Q19637	Tranmere Rovers F.C.
Q196414	Le Ferré
Q19644	Walsall F.C.
Q1964408	Nan Hoover
Q1964467	Nancowry Island
Q1964594	The Model and the Marriage Broker
Q19648591	The Divergent Series: Allegiant
Q1965	New Brunswick
Q196505	Plerguer
Q1965316	Narcondam Island
Q196560	Kelsey Grammer
Q196564	Chancé
Q1965688	Zhiguli Hydroelectric Station
Q196579	Piré-sur-Seiche
Q19660	Bucharest
Q1966024	Camden Expedition
Q1966135	Natalia Nogulich
Q19661715	Clara Koppenburg
Q19661759	Jelena Erić
Q19661776	Urska Zigart
Q19661791	Arianna Fidanza
Q19661792	Wílmar Barrios
Q19661812	Ilaria Sanguineti
Q19661815	Jip van den Bos
Q19661845	Sarah Rijkes
Q19661850	Annelies Dom
Q19661861	Evy Kuijpers
Q19661871	Sarah Roy
Q19661887	Anouska Koster
Q19661895	Anisha Vekemans
Q19661912	Cristina Martínez
Q19661923	Ana Maria Covrig
Q19661932	Eider Merino Cortazar
Q19661974	Alicia González Blanco
Q19661998	Alexandra Manly
Q1966430	Michail Antonio
Q1966479	Nathan Brown
Q19664827	Martine Syms
Q19666014	Nick Shore
Q196665	8 Mile
Q19666575	Jordan Oesterle
Q196670	1999 Summer Universiade
Q196678	Torzhok
